"","time","variable","I","group"
"1",0,"I_i",0.00263333333333333,"Coverage_70_simple_180"
"2",1,"I_i",0.00258486509204239,"Coverage_70_simple_180"
"3",2,"I_i",0.00253606233821436,"Coverage_70_simple_180"
"4",3,"I_i",0.00248698225625696,"Coverage_70_simple_180"
"5",4,"I_i",0.00243767412588276,"Coverage_70_simple_180"
"6",5,"I_i",0.00238820253982688,"Coverage_70_simple_180"
"7",6,"I_i",0.00233861872319086,"Coverage_70_simple_180"
"8",7,"I_i",0.00228897510676153,"Coverage_70_simple_180"
"9",8,"I_i",0.00223932284517773,"Coverage_70_simple_180"
"10",9,"I_i",0.00218971166419127,"Coverage_70_simple_180"
"11",10,"I_i",0.00214018983939827,"Coverage_70_simple_180"
"12",11,"I_i",0.00209080414484187,"Coverage_70_simple_180"
"13",12,"I_i",0.00204159990136462,"Coverage_70_simple_180"
"14",13,"I_i",0.00199262062572415,"Coverage_70_simple_180"
"15",14,"I_i",0.00194390835197588,"Coverage_70_simple_180"
"16",15,"I_i",0.00189550346321185,"Coverage_70_simple_180"
"17",16,"I_i",0.00184744464941803,"Coverage_70_simple_180"
"18",17,"I_i",0.00179976890753404,"Coverage_70_simple_180"
"19",18,"I_i",0.00175251152383171,"Coverage_70_simple_180"
"20",19,"I_i",0.00170570606347571,"Coverage_70_simple_180"
"21",20,"I_i",0.00165938436503568,"Coverage_70_simple_180"
"22",21,"I_i",0.00161357653909321,"Coverage_70_simple_180"
"23",22,"I_i",0.00156831097118626,"Coverage_70_simple_180"
"24",23,"I_i",0.00152361432883391,"Coverage_70_simple_180"
"25",24,"I_i",0.00147951157245163,"Coverage_70_simple_180"
"26",25,"I_i",0.00143602596997171,"Coverage_70_simple_180"
"27",26,"I_i",0.0013931791149674,"Coverage_70_simple_180"
"28",27,"I_i",0.00135099094738795,"Coverage_70_simple_180"
"29",28,"I_i",0.00130947978013111,"Coverage_70_simple_180"
"30",29,"I_i",0.00126866232468248,"Coverage_70_simple_180"
"31",30,"I_i",0.00122855372096309,"Coverage_70_simple_180"
"32",31,"I_i",0.00118916757082225,"Coverage_70_simple_180"
"33",32,"I_i",0.00115051597245813,"Coverage_70_simple_180"
"34",33,"I_i",0.00111260955754651,"Coverage_70_simple_180"
"35",34,"I_i",0.00107545752963546,"Coverage_70_simple_180"
"36",35,"I_i",0.00103906770353939,"Coverage_70_simple_180"
"37",36,"I_i",0.00100344654864474,"Coverage_70_simple_180"
"38",37,"I_i",0.000968599231387215,"Coverage_70_simple_180"
"39",38,"I_i",0.0009345296265889,"Coverage_70_simple_180"
"40",39,"I_i",0.000901240448068415,"Coverage_70_simple_180"
"41",40,"I_i",0.000868733239448453,"Coverage_70_simple_180"
"42",41,"I_i",0.000837008403055581,"Coverage_70_simple_180"
"43",42,"I_i",0.000806065267037492,"Coverage_70_simple_180"
"44",43,"I_i",0.000775902131632214,"Coverage_70_simple_180"
"45",44,"I_i",0.000746516316054515,"Coverage_70_simple_180"
"46",45,"I_i",0.000717904205634058,"Coverage_70_simple_180"
"47",46,"I_i",0.000690061298771017,"Coverage_70_simple_180"
"48",47,"I_i",0.000662982253634566,"Coverage_70_simple_180"
"49",48,"I_i",0.000636660934495699,"Coverage_70_simple_180"
"50",49,"I_i",0.000611090457589497,"Coverage_70_simple_180"
"51",50,"I_i",0.000586263236411109,"Coverage_70_simple_180"
"52",51,"I_i",0.000562171026356934,"Coverage_70_simple_180"
"53",52,"I_i",0.000538804968629595,"Coverage_70_simple_180"
"54",53,"I_i",0.00051615563333234,"Coverage_70_simple_180"
"55",54,"I_i",0.000494213061685284,"Coverage_70_simple_180"
"56",55,"I_i",0.000472966807302509,"Coverage_70_simple_180"
"57",56,"I_i",0.000452405976475443,"Coverage_70_simple_180"
"58",57,"I_i",0.000432519267414065,"Coverage_70_simple_180"
"59",58,"I_i",0.000413295030657298,"Coverage_70_simple_180"
"60",59,"I_i",0.000394721231029344,"Coverage_70_simple_180"
"61",60,"I_i",0.000376785570447228,"Coverage_70_simple_180"
"62",61,"I_i",0.000359475488333758,"Coverage_70_simple_180"
"63",62,"I_i",0.000342778191841536,"Coverage_70_simple_180"
"64",63,"I_i",0.000326680687340502,"Coverage_70_simple_180"
"65",64,"I_i",0.000311169823216304,"Coverage_70_simple_180"
"66",65,"I_i",0.000296232312097352,"Coverage_70_simple_180"
"67",66,"I_i",0.000281854756554159,"Coverage_70_simple_180"
"68",67,"I_i",0.000268023684260295,"Coverage_70_simple_180"
"69",68,"I_i",0.000254725557667913,"Coverage_70_simple_180"
"70",69,"I_i",0.000241946817838716,"Coverage_70_simple_180"
"71",70,"I_i",0.00022967390053449,"Coverage_70_simple_180"
"72",71,"I_i",0.00021789325854504,"Coverage_70_simple_180"
"73",72,"I_i",0.000206591384448742,"Coverage_70_simple_180"
"74",73,"I_i",0.000195754827010981,"Coverage_70_simple_180"
"75",74,"I_i",0.000185370212829915,"Coverage_70_simple_180"
"76",75,"I_i",0.000175424264436211,"Coverage_70_simple_180"
"77",76,"I_i",0.000165903809344799,"Coverage_70_simple_180"
